"date","amount","category","currency","company","source"
"1985-06-20","0.0590858","Close Price","USD","AAPL.US","stooq.com"
"1985-06-21","0.0602938","Close Price","USD","AAPL.US","stooq.com"
"1985-06-24","0.0644873","Close Price","USD","AAPL.US","stooq.com"
"1985-06-25","0.065391","Close Price","USD","AAPL.US","stooq.com"
"1985-06-26","0.0677776","Close Price","USD","AAPL.US","stooq.com"
"1985-06-27","0.0686811","Close Price","USD","AAPL.US","stooq.com"
"1985-06-28","0.067483","Close Price","USD","AAPL.US","stooq.com"
"1985-07-01","0.0677776","Close Price","USD","AAPL.US","stooq.com"
"1985-07-02","0.0644873","Close Price","USD","AAPL.US","stooq.com"
"1985-07-03","0.065391","Close Price","USD","AAPL.US","stooq.com"
"1985-07-05","0.0656759","Close Price","USD","AAPL.US","stooq.com"
"1985-07-08","0.0656759","Close Price","USD","AAPL.US","stooq.com"
"1985-07-09","0.0656759","Close Price","USD","AAPL.US","stooq.com"
"1985-07-10","0.067483","Close Price","USD","AAPL.US","stooq.com"
"1985-07-11","0.067483","Close Price","USD","AAPL.US","stooq.com"
"1985-07-12","0.0668742","Close Price","USD","AAPL.US","stooq.com"
"1985-07-15","0.0662653","Close Price","USD","AAPL.US","stooq.com"
"1985-07-16","0.065391","Close Price","USD","AAPL.US","stooq.com"
"1985-07-17","0.0656759","Close Price","USD","AAPL.US","stooq.com"
"1985-07-18","0.0644873","Close Price","USD","AAPL.US","stooq.com"
"1985-07-19","0.0650669","Close Price","USD","AAPL.US","stooq.com"
"1985-07-22","0.0629845","Close Price","USD","AAPL.US","stooq.com"
"1985-07-23","0.0617964","Close Price","USD","AAPL.US","stooq.com"
"1985-07-24","0.0605786","Close Price","USD","AAPL.US","stooq.com"
"1985-07-25","0.0620713","Close Price","USD","AAPL.US","stooq.com"
"1985-07-26","0.0620713","Close Price","USD","AAPL.US","stooq.com"
"1985-07-29","0.0599794","Close Price","USD","AAPL.US","stooq.com"
"1985-07-30","0.0605786","Close Price","USD","AAPL.US","stooq.com"
"1985-07-31","0.0593704","Close Price","USD","AAPL.US","stooq.com"
"1985-08-01","0.0593704","Close Price","USD","AAPL.US","stooq.com"
"1985-08-02","0.0590858","Close Price","USD","AAPL.US","stooq.com"
"1985-08-05","0.0575732","Close Price","USD","AAPL.US","stooq.com"
"1985-08-06","0.0569838","Close Price","USD","AAPL.US","stooq.com"
"1985-08-07","0.0554811","Close Price","USD","AAPL.US","stooq.com"
"1985-08-08","0.0566794","Close Price","USD","AAPL.US","stooq.com"
"1985-08-09","0.0569838","Close Price","USD","AAPL.US","stooq.com"
"1985-08-12","0.0560803","Close Price","USD","AAPL.US","stooq.com"
"1985-08-13","0.0569838","Close Price","USD","AAPL.US","stooq.com"
"1985-08-14","0.0545877","Close Price","USD","AAPL.US","stooq.com"
"1985-08-15","0.0539884","Close Price","USD","AAPL.US","stooq.com"
"1985-08-16","0.0545877","Close Price","USD","AAPL.US","stooq.com"
"1985-08-19","0.0560803","Close Price","USD","AAPL.US","stooq.com"
"1985-08-20","0.0569838","Close Price","USD","AAPL.US","stooq.com"
"1985-08-21","0.0569838","Close Price","USD","AAPL.US","stooq.com"
"1985-08-22","0.0554811","Close Price","USD","AAPL.US","stooq.com"
"1985-08-23","0.0551866","Close Price","USD","AAPL.US","stooq.com"
"1985-08-26","0.0566794","Close Price","USD","AAPL.US","stooq.com"
"1985-08-27","0.0569838","Close Price","USD","AAPL.US","stooq.com"
"1985-08-28","0.0569838","Close Price","USD","AAPL.US","stooq.com"
"1985-08-29","0.0554811","Close Price","USD","AAPL.US","stooq.com"
"1985-08-30","0.0560803","Close Price","USD","AAPL.US","stooq.com"
"1985-09-03","0.0551866","Close Price","USD","AAPL.US","stooq.com"
"1985-09-04","0.0554811","Close Price","USD","AAPL.US","stooq.com"
"1985-09-05","0.0554811","Close Price","USD","AAPL.US","stooq.com"
"1985-09-06","0.0560803","Close Price","USD","AAPL.US","stooq.com"
"1985-09-09","0.0569838","Close Price","USD","AAPL.US","stooq.com"
"1985-09-10","0.0575732","Close Price","USD","AAPL.US","stooq.com"
"1985-09-11","0.057868","Close Price","USD","AAPL.US","stooq.com"
"1985-09-12","0.0602938","Close Price","USD","AAPL.US","stooq.com"
"1985-09-13","0.0590858","Close Price","USD","AAPL.US","stooq.com"
"1985-09-16","0.0569838","Close Price","USD","AAPL.US","stooq.com"
"1985-09-17","0.0569838","Close Price","USD","AAPL.US","stooq.com"
"1985-09-18","0.0605786","Close Price","USD","AAPL.US","stooq.com"
"1985-09-19","0.0635839","Close Price","USD","AAPL.US","stooq.com"
"1985-09-20","0.06269","Close Price","USD","AAPL.US","stooq.com"
"1985-09-23","0.0629845","Close Price","USD","AAPL.US","stooq.com"
"1985-09-24","0.0617964","Close Price","USD","AAPL.US","stooq.com"
"1985-09-25","0.0593704","Close Price","USD","AAPL.US","stooq.com"
"1985-09-26","0.0593704","Close Price","USD","AAPL.US","stooq.com"
"1985-09-27","0.0593704","Close Price","USD","AAPL.US","stooq.com"
"1985-09-30","0.0590858","Close Price","USD","AAPL.US","stooq.com"
"1985-10-01","0.0590858","Close Price","USD","AAPL.US","stooq.com"
"1985-10-02","0.0584866","Close Price","USD","AAPL.US","stooq.com"
"1985-10-03","0.057868","Close Price","USD","AAPL.US","stooq.com"
"1985-10-04","0.0560803","Close Price","USD","AAPL.US","stooq.com"
"1985-10-07","0.0560803","Close Price","USD","AAPL.US","stooq.com"
"1985-10-08","0.0566794","Close Price","USD","AAPL.US","stooq.com"
"1985-10-09","0.0560803","Close Price","USD","AAPL.US","stooq.com"
"1985-10-10","0.0593704","Close Price","USD","AAPL.US","stooq.com"
"1985-10-11","0.0599794","Close Price","USD","AAPL.US","stooq.com"
"1985-10-14","0.0620713","Close Price","USD","AAPL.US","stooq.com"
"1985-10-15","0.0635839","Close Price","USD","AAPL.US","stooq.com"
"1985-10-16","0.067483","Close Price","USD","AAPL.US","stooq.com"
"1985-10-17","0.0680917","Close Price","USD","AAPL.US","stooq.com"
"1985-10-18","0.0662653","Close Price","USD","AAPL.US","stooq.com"
"1985-10-21","0.0644873","Close Price","USD","AAPL.US","stooq.com"
"1985-10-22","0.067483","Close Price","USD","AAPL.US","stooq.com"
"1985-10-23","0.067483","Close Price","USD","AAPL.US","stooq.com"
"1985-10-24","0.0686811","Close Price","USD","AAPL.US","stooq.com"
"1985-10-25","0.067483","Close Price","USD","AAPL.US","stooq.com"
"1985-10-28","0.067483","Close Price","USD","AAPL.US","stooq.com"
"1985-10-29","0.0668742","Close Price","USD","AAPL.US","stooq.com"
"1985-10-30","0.0710777","Close Price","USD","AAPL.US","stooq.com"
"1985-10-31","0.0695847","Close Price","USD","AAPL.US","stooq.com"
"1985-11-01","0.0695847","Close Price","USD","AAPL.US","stooq.com"
"1985-11-04","0.0698894","Close Price","USD","AAPL.US","stooq.com"
"1985-11-05","0.0695847","Close Price","USD","AAPL.US","stooq.com"
"1985-11-06","0.0719614","Close Price","USD","AAPL.US","stooq.com"
"1985-11-07","0.0731795","Close Price","USD","AAPL.US","stooq.com"
